Dataset URL,Organisation,General classification of dataset type,Topic or theme,Point of Contact
https://www.data.qld.gov.au/dataset/soe2015-trackable-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-trackable-waste-recovered,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-transport-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-vehicle-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-vehicle-kilometres-travelled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-visibility-reducing-particles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-volume-and-load-of-sewage-treatment-plants,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-waste-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-wet-tropics-of-queensland-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-agriculture-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-annual-rainfall,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-broad-vegetation-groups-within-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-carbon-monoxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-change-in-density-in-residential-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-commercial-and-industrial-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-commercial-and-industrial-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-condition-of-aquatic-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-condition-of-ecological-processes,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-condition-of-estuarine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-condition-of-marine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
